yearstart,locationabbr,stratificationcategory1,stratification1,overweight_value,obesity_value,obesity_high_risk,overweight_high_risk
2011,DE,Education,Less than high school,34.4,35.2,1,0
2011,DE,Education,Some college or technical school,31.2,30.9,0,0
2011,DE,Income,"$15,000 - $24,999",32.2,35.6,1,0
2011,DE,Income,"$25,000 - $34,999",29.5,31.0,0,0
2011,DE,Income,"$35,000 - $49,999",32.9,32.3,1,0
2011,DE,Income,"$50,000 - $74,999",36.8,26.4,0,1
2011,DE,Income,"$75,000 or greater",39.4,27.0,0,1
2011,DE,Income,Data not reported,32.8,22.0,0,0
2011,DE,Income,"Less than $15,000",33.8,33.5,1,0
2011,DE,Race/Ethnicity,2 or more races,30.1,36.5,1,0
2011,DE,Race/Ethnicity,Asian,32.5,2.1,0,0
2011,DE,Race/Ethnicity,Hispanic,34.2,22.4,0,0
2011,DE,Race/Ethnicity,Non-Hispanic Black,33.4,38.2,1,0
2011,DE,Race/Ethnicity,Non-Hispanic White,35.9,27.2,0,1
2011,DE,Sex,Female,28.7,28.6,0,0
2011,DE,Sex,Male,41.6,29.0,0,1
2011,DE,Total,Total,35.0,28.8,0,1
2011,FL,Age (years),18 - 24,34.6,10.7,0,0
2011,FL,Age (years),25 - 34,32.5,25.9,0,0
2011,FL,Age (years),35 - 44,37.0,29.9,0,1
2011,FL,Age (years),45 - 54,33.2,34.3,1,0
2011,FL,Age (years),55 - 64,39.7,31.2,0,1
2011,FL,Age (years),65 or older,40.9,23.4,0,1
2011,FL,Education,College graduate,38.2,21.1,0,1
2011,FL,Education,High school graduate,37.4,27.5,0,1
2011,FL,Education,Less than high school,35.8,32.7,1,1
2011,FL,Education,Some college or technical school,35.2,27.4,0,1
2011,FL,Income,"$15,000 - $24,999",36.5,30.2,0,1
2011,FL,Income,"$25,000 - $34,999",36.5,29.7,0,1
2011,FL,Income,"$35,000 - $49,999",39.9,27.2,0,1
2011,FL,Income,"$50,000 - $74,999",38.1,26.5,0,1
2011,FL,Income,"$75,000 or greater",38.3,22.4,0,1
2011,FL,Income,Data not reported,36.4,20.3,0,1
2011,FL,Income,"Less than $15,000",30.2,31.8,1,0
2011,FL,Race/Ethnicity,2 or more races,32.4,26.7,0,0
2011,FL,Race/Ethnicity,American Indian/Alaska Native,41.1,22.3,0,1
2011,FL,Race/Ethnicity,Asian,36.5,6.2,0,1
2011,FL,Race/Ethnicity,Hispanic,38.9,27.8,0,1
2011,FL,Race/Ethnicity,Non-Hispanic Black,33.7,35.7,1,0
2011,FL,Race/Ethnicity,Non-Hispanic White,36.6,24.9,0,1
2011,FL,Sex,Female,30.4,25.6,0,0
2011,FL,Sex,Male,42.9,27.7,0,1
2011,FL,Total,Total,36.7,26.6,0,1
2011,GA,Age (years),18 - 24,21.2,15.0,0,0
2011,GA,Age (years),25 - 34,33.5,26.5,0,0
2011,GA,Age (years),35 - 44,38.2,29.6,0,1
2011,GA,Age (years),45 - 54,37.0,33.7,1,1
2011,GA,Age (years),55 - 64,37.1,34.4,1,1
2011,GA,Age (years),65 or older,37.9,25.4,0,1
2011,GA,Education,College graduate,38.1,21.4,0,1
2011,GA,Education,High school graduate,32.6,29.5,0,0
2011,GA,Education,Less than high school,30.5,34.1,1,0
2011,GA,Education,Some college or technical school,36.4,28.6,0,1
2011,GA,Income,"$15,000 - $24,999",30.7,33.2,1,0
2011,GA,Income,"$25,000 - $34,999",34.6,29.0,0,0
2011,GA,Income,"$35,000 - $49,999",35.9,26.8,0,1
2011,GA,Income,"$50,000 - $74,999",39.0,31.2,0,1
2011,GA,Income,"$75,000 or greater",40.9,21.3,0,1
2011,GA,Income,Data not reported,30.0,23.3,0,0
2011,GA,Income,"Less than $15,000",29.5,33.9,1,0
2011,GA,Race/Ethnicity,2 or more races,33.9,27.1,0,0
2011,GA,Race/Ethnicity,American Indian/Alaska Native,24.3,31.6,0,0
2011,GA,Race/Ethnicity,Asian,23.1,5.4,0,0
2011,GA,Race/Ethnicity,Hispanic,38.9,26.4,0,1
2011,GA,Race/Ethnicity,Non-Hispanic Black,34.7,36.8,1,0
2011,GA,Race/Ethnicity,Non-Hispanic White,34.5,25.0,0,0
2011,GA,Race/Ethnicity,Other,34.4,8.6,0,0
2011,GA,Sex,Female,28.4,29.3,0,0
2011,GA,Sex,Male,40.9,26.7,0,1
2011,GA,Total,Total,34.7,28.0,0,0
2011,HI,Age (years),18 - 24,26.0,9.3,0,0
2011,HI,Age (years),25 - 34,34.8,23.7,0,1
2011,HI,Age (years),35 - 44,32.0,30.5,0,0
2011,HI,Age (years),45 - 54,35.7,25.0,0,1
2011,HI,Age (years),55 - 64,35.2,22.8,0,1
2011,HI,Age (years),65 or older,36.6,16.9,0,1
2011,HI,Education,College graduate,34.4,15.2,0,0
2011,HI,Education,High school graduate,34.7,24.9,0,0
2011,HI,Education,Less than high school,28.9,27.1,0,0
2011,HI,Education,Some college or technical school,34.0,22.8,0,0
2011,HI,Income,"$15,000 - $24,999",32.8,21.2,0,0
2011,HI,Income,"$25,000 - $34,999",30.8,21.9,0,0
2011,HI,Income,"$35,000 - $49,999",35.0,19.9,0,1
2011,HI,Income,"$50,000 - $74,999",32.7,28.2,0,0
2011,HI,Income,"$75,000 or greater",36.8,21.0,0,1
2011,HI,Income,Data not reported,30.2,15.9,0,0
2011,HI,Income,"Less than $15,000",33.1,23.1,0,0
2011,HI,Race/Ethnicity,2 or more races,33.2,32.5,1,0
2011,HI,Race/Ethnicity,Asian,33.9,16.0,0,0
2011,HI,Race/Ethnicity,Hawaiian/Pacific Islander,35.9,45.5,1,1
2011,HI,Race/Ethnicity,Hispanic,33.3,26.8,0,0
2011,HI,Race/Ethnicity,Non-Hispanic White,33.1,19.0,0,0
2011,HI,Race/Ethnicity,Other,35.8,23.2,0,1
2011,HI,Sex,Female,27.6,19.2,0,0
2011,HI,Sex,Male,39.8,24.4,0,1
2011,HI,Total,Total,33.8,21.8,0,0
2011,IA,Age (years),18 - 24,25.6,14.4,0,0
2011,IA,Age (years),25 - 34,35.7,22.8,0,1
2011,IA,Age (years),35 - 44,36.7,32.7,1,1
2011,IA,Age (years),45 - 54,36.7,35.6,1,1
2011,IA,Age (years),55 - 64,39.1,35.6,1,1
2011,IA,Age (years),65 or older,38.5,29.1,0,1
2011,IA,Education,College graduate,37.5,23.2,0,1
2011,IA,Education,High school graduate,35.4,33.0,1,1
2011,IA,Education,Less than high school,33.7,28.2,0,0
2011,IA,Education,Some college or technical school,35.7,29.0,0,1
2011,IA,Income,"$15,000 - $24,999",32.2,33.8,1,0
2011,IA,Income,"$25,000 - $34,999",38.2,32.1,1,1
2011,IA,Income,"$35,000 - $49,999",37.1,32.7,1,1
2011,IA,Income,"$50,000 - $74,999",38.4,33.3,1,1
2011,IA,Income,"$75,000 or greater",38.9,25.0,0,1
2011,IA,Income,Data not reported,31.1,20.1,0,0
2011,IA,Income,"Less than $15,000",30.1,28.5,0,0
2011,IA,Race/Ethnicity,2 or more races,29.6,33.7,1,0
2011,IA,Race/Ethnicity,Asian,20.0,3.0,0,0
2011,IA,Race/Ethnicity,Hispanic,38.9,33.2,1,1
2011,IA,Race/Ethnicity,Non-Hispanic Black,37.1,27.8,0,1
2011,IA,Race/Ethnicity,Non-Hispanic White,36.0,29.2,0,1
2011,IA,Sex,Female,30.6,27.4,0,0
2011,IA,Sex,Male,40.9,30.4,0,1
2011,IA,Total,Total,35.8,29.0,0,1
2011,ID,Age (years),18 - 24,22.0,15.7,0,0
2011,ID,Age (years),25 - 34,28.1,27.6,0,0
2011,ID,Age (years),35 - 44,38.1,28.0,0,1
2011,ID,Age (years),45 - 54,38.3,32.0,1,1
2011,ID,Age (years),55 - 64,40.6,33.0,1,1
2011,ID,Age (years),65 or older,43.3,24.3,0,1
2011,ID,Education,College graduate,38.6,21.5,0,1
2011,ID,Education,High school graduate,33.3,28.2,0,0
2011,ID,Education,Less than high school,31.9,32.8,1,0
2011,ID,Education,Some college or technical school,35.9,27.6,0,1
2011,ID,Income,"$15,000 - $24,999",31.6,29.0,0,0
2011,ID,Income,"$25,000 - $34,999",33.4,29.0,0,0
2011,ID,Income,"$35,000 - $49,999",35.9,26.5,0,1
2011,ID,Income,"$50,000 - $74,999",34.0,28.9,0,0
2011,ID,Income,"$75,000 or greater",42.6,22.0,0,1
2011,ID,Income,Data not reported,33.9,25.8,0,0
2011,ID,Income,"Less than $15,000",32.0,30.0,0,0
2011,ID,Race/Ethnicity,2 or more races,30.8,34.9,1,0
2011,ID,Race/Ethnicity,American Indian/Alaska Native,48.1,28.6,0,1
2011,ID,Race/Ethnicity,Hispanic,31.3,35.9,1,0
2011,ID,Race/Ethnicity,Non-Hispanic White,35.9,25.9,0,1
2011,ID,Sex,Female,27.6,27.9,0,0
2011,ID,Sex,Male,42.3,26.2,0,1
2011,ID,Total,Total,35.2,27.0,0,1
2011,IL,Age (years),18 - 24,25.4,11.8,0,0
2011,IL,Age (years),25 - 34,37.3,24.3,0,1
2011,IL,Age (years),35 - 44,39.2,28.3,0,1
2011,IL,Age (years),45 - 54,39.2,32.8,1,1
2011,IL,Age (years),55 - 64,38.5,33.1,1,1
2011,IL,Age (years),65 or older,39.2,29.1,0,1
2011,IL,Education,College graduate,36.9,23.4,0,1
2011,IL,Education,High school graduate,35.2,29.0,0,1
2011,IL,Education,Less than high school,43.0,29.0,0,1
2011,IL,Education,Some college or technical school,35.9,28.0,0,1
2011,IL,Income,"$15,000 - $24,999",40.7,31.4,0,1
2011,IL,Income,"$25,000 - $34,999",37.7,26.9,0,1
2011,IL,Income,"$35,000 - $49,999",36.9,27.7,0,1
2011,IL,Income,"$50,000 - $74,999",37.3,28.1,0,1
2011,IL,Income,"$75,000 or greater",36.2,24.7,0,1
2011,IL,Income,Data not reported,27.8,19.3,0,0
2011,IL,Income,"Less than $15,000",36.1,29.1,0,1
2011,IL,Race/Ethnicity,2 or more races,37.4,33.4,1,1
2011,IL,Race/Ethnicity,Asian,35.6,4.6,0,1
2011,IL,Race/Ethnicity,Hispanic,41.6,25.2,0,1
2011,IL,Race/Ethnicity,Non-Hispanic Black,35.3,39.2,1,1
2011,IL,Race/Ethnicity,Non-Hispanic White,36.2,26.0,0,1
2011,IL,Sex,Female,29.2,26.5,0,0
2011,IL,Sex,Male,44.8,27.7,0,1
2011,IL,Total,Total,36.9,27.1,0,1
2011,IN,Age (years),18 - 24,26.3,19.6,0,0
2011,IN,Age (years),25 - 34,30.2,30.9,0,0
2011,IN,Age (years),35 - 44,35.1,33.2,1,1
2011,IN,Age (years),45 - 54,35.5,35.8,1,1
2011,IN,Age (years),55 - 64,38.8,36.7,1,1
2011,IN,Age (years),65 or older,41.0,26.6,0,1
2011,IN,Education,College graduate,38.9,23.5,0,1
2011,IN,Education,High school graduate,35.3,32.3,1,1
2011,IN,Education,Less than high school,24.7,36.2,1,0
2011,IN,Education,Some college or technical school,35.9,31.8,1,1
2011,IN,Income,"$15,000 - $24,999",31.8,35.3,1,0
2011,IN,Income,"$25,000 - $34,999",36.4,32.0,1,1
2011,IN,Income,"$35,000 - $49,999",35.7,30.3,0,1
2011,IN,Income,"$50,000 - $74,999",37.3,32.0,1,1
2011,IN,Income,"$75,000 or greater",40.5,26.4,0,1
2011,IN,Income,Data not reported,30.0,27.5,0,0
2011,IN,Income,"Less than $15,000",29.4,35.0,1,0
2011,IN,Race/Ethnicity,2 or more races,34.0,45.4,1,0
2011,IN,Race/Ethnicity,American Indian/Alaska Native,30.9,37.9,1,0
2011,IN,Race/Ethnicity,Hispanic,39.1,34.7,1,1
2011,IN,Race/Ethnicity,Non-Hispanic Black,31.3,42.2,1,0
2011,IN,Race/Ethnicity,Non-Hispanic White,34.9,29.5,0,1
2011,IN,Sex,Female,29.7,30.8,0,0
2011,IN,Sex,Male,39.7,30.9,0,1
2011,IN,Total,Total,34.8,30.8,0,1
2011,KS,Age (years),18 - 24,26.0,16.1,0,0
2011,KS,Age (years),25 - 34,33.0,28.8,0,0
2011,KS,Age (years),35 - 44,35.3,32.9,1,1
2011,KS,Age (years),45 - 54,35.8,34.8,1,1
2011,KS,Age (years),55 - 64,38.4,36.0,1,1
2011,KS,Age (years),65 or older,38.6,26.3,0,1
2011,KS,Education,College graduate,38.2,24.9,0,1
2011,KS,Education,High school graduate,33.9,31.5,0,0
2011,KS,Education,Less than high school,33.3,30.6,0,0
2011,KS,Education,Some college or technical school,33.5,31.3,0,0
2011,KS,Income,"$15,000 - $24,999",30.9,31.8,1,0
2011,KS,Income,"$25,000 - $34,999",35.0,30.9,0,1
2011,KS,Income,"$35,000 - $49,999",36.5,32.7,1,1
2011,KS,Income,"$50,000 - $74,999",37.6,31.0,0,1
2011,KS,Income,"$75,000 or greater",38.9,25.6,0,1
2011,KS,Income,Data not reported,32.6,24.4,0,0
2011,KS,Income,"Less than $15,000",26.3,35.8,1,0
2011,KS,Race/Ethnicity,2 or more races,33.0,33.5,1,0
2011,KS,Race/Ethnicity,American Indian/Alaska Native,41.7,32.8,1,1
2011,KS,Race/Ethnicity,Asian,30.0,8.9,0,0
2011,KS,Race/Ethnicity,Hispanic,35.5,30.5,0,1
2011,KS,Race/Ethnicity,Non-Hispanic Black,30.3,40.9,1,0
2011,KS,Race/Ethnicity,Non-Hispanic White,35.1,29.1,0,1
2011,KS,Race/Ethnicity,Other,41.8,32.6,1,1
2011,KS,Sex,Female,28.5,29.1,0,0
2011,KS,Sex,Male,40.9,30.0,0,1
2011,KS,Total,Total,34.8,29.6,0,1
2011,KY,Age (years),18 - 24,30.0,21.2,0,0
2011,KY,Age (years),25 - 34,30.5,28.7,0,0
2011,KY,Age (years),35 - 44,38.7,33.7,1,1
2011,KY,Age (years),45 - 54,37.5,34.8,1,1
2011,KY,Age (years),55 - 64,37.8,36.4,1,1
2011,KY,Age (years),65 or older,40.4,25.1,0,1
2011,KY,Education,College graduate,38.8,24.4,0,1
2011,KY,Education,High school graduate,36.7,31.4,0,1
2011,KY,Education,Less than high school,34.7,34.0,1,0
2011,KY,Education,Some college or technical school,34.5,30.6,0,0
2011,KY,Income,"$15,000 - $24,999",33.4,35.6,1,0
2011,KY,Income,"$25,000 - $34,999",39.1,30.0,0,1
2011,KY,Income,"$35,000 - $49,999",35.3,33.7,1,1
2011,KY,Income,"$50,000 - $74,999",32.3,34.4,1,0
2011,KY,Income,"$75,000 or greater",45.2,23.4,0,1
2011,KY,Income,Data not reported,35.4,26.6,0,1
2011,KY,Income,"Less than $15,000",30.4,36.6,1,0
2011,KY,Race/Ethnicity,2 or more races,29.9,45.2,1,0
2011,KY,Race/Ethnicity,American Indian/Alaska Native,25.2,25.9,0,0
